MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.4166186,-122.082065,,0.002044282,0.1,92.96875,1589573679445
Fix,GT,37.4166186,-122.082065,,0.0021983588,0.1,92.969666,1589573680445
Fix,GT,37.4166186,-122.082065,,0.0014142136,0.1,92.96985,1589573681445
Fix,GT,37.4166186,-122.082065,,0.0014142136,0.1,92.96985,1589573682445
Fix,GT,37.4166186,-122.082065,,0.0014142136,0.1,92.96991,1589573683445
Fix,GT,37.4166186,-122.082065,,0.0017803707,0.1,92.96988,1589573684445
Fix,GT,37.4166186,-122.082065,,0.001685368,0.1,92.96982,1589573685445
Fix,GT,37.4166186,-122.082065,,0.00055447436,0.1,92.96948,1589573686445
Fix,GT,37.4166186,-122.082065,,0.0006300683,0.1,92.96912,1589573687445
Fix,GT,37.4166186,-122.082065,,0.0014142136,0.1,92.96896,1589573688445
Fix,GT,37.4166186,-122.082065,,0.0014142136,0.1,92.96918,1589573689445
Fix,GT,37.4166186,-122.082065,,0.0016751965,0.1,92.96918,1589573690445
Fix,GT,37.4166186,-122.082065,,0.0015544744,0.1,92.96893,1589573691445
Fix,GT,37.4166186,-122.082065,,0.001,0.1,92.96918,1589573692445
Fix,GT,37.4166186,-122.082065,,0.0015506999,0.1,92.969055,1589573693445
Fix,GT,37.4166186,-122.082065,,0.0018699109,0.1,92.969055,1589573694445
Fix,GT,37.4166186,-122.082065,,0.0012296708,0.1,92.96878,1589573695445
Fix,GT,37.4166186,-122.082065,,0.001,0.1,92.96863,1589573696445
Fix,GT,37.4166186,-122.082065,,0.0015506999,0.1,92.96893,1589573697445
Fix,GT,37.4166186,-122.082065,,0.0030767915,0.1,92.96835,1589573698445
Fix,GT,37.4166186,-122.082065,,0.0022861569,0.1,92.96655,1589573699445
Fix,GT,37.4166186,-122.082065,,0.0029886763,0.1,92.96597,1589573700445
Fix,GT,37.4166186,-122.082065,,0.004349596,0.1,92.966675,1589573701445
Fix,GT,37.4166186,-122.082065,,0.0007841453,0.1,92.96753,1589573702445
Fix,GT,37.4166186,-122.082065,,0.00063006824,0.1,92.96887,1589573703445
Fix,GT,37.4166186,-122.082065,,0.0012296708,0.1,92.96939,1589573704445
Fix,GT,37.4166186,-122.082065,,0.001,0.1,92.96976,1589573705445
Fix,GT,37.4166186,-122.082065,,0.0005544745,0.1,92.96942,1589573706445
Fix,GT,37.4166186,-122.082065,,0.00044552554,0.1,92.96875,1589573707445
Fix,GT,37.4166186,-122.082065,,0.001,0.1,92.96869,1589573708445
Fix,GT,37.4166186,-122.082065,,0.0014455256,0.1,92.96826,1589573709445
Fix,GT,37.4166186,-122.082065,,0.0024455255,0.1,92.96802,1589573710445
Fix,GT,37.4166186,-122.082065,,0.0022934917,0.1,92.96735,1589573711445
Fix,GT,37.4166186,-122.082065,,0.0012296708,0.1,92.966675,1589573712445
Fix,GT,37.4166186,-122.082065,,0.0009999999,0.1,92.96643,1589573713445
Fix,GT,37.4166186,-122.082065,,0.0011845427,0.1,92.96631,1589573714445
Fix,GT,37.4166186,-122.082065,,0.0017803706,0.1,92.966156,1589573715445
Fix,GT,37.4166186,-122.082065,,0.002648718,0.1,92.96591,1589573716445
Fix,GT,37.4166186,-122.082065,,0.0033597671,0.1,92.96579,1589573717445
Fix,GT,37.4166186,-122.082065,,0.0029954114,0.1,92.96582,1589573718445
Fix,GT,37.4166186,-122.082065,,0.0022360678,0.1,92.96387,1589573719445
Fix,GT,37.4166186,-122.082065,,0.0031300471,0.1,92.96231,1589573720445
Fix,GT,37.4166186,-122.082065,,0.002982504,0.1,92.96329,1589573721445
Fix,GT,37.4166186,-122.082065,,0.0017803706,0.1,92.96338,1589573722445
Fix,GT,37.4166186,-122.082065,,0.0016853682,0.1,92.964294,1589573723445
Fix,GT,37.4166186,-122.082065,,0.0009999999,0.1,92.96408,1589573724445
Fix,GT,37.4166186,-122.082065,,0.0014455256,0.1,92.9635,1589573725445
Fix,GT,37.4166186,-122.082065,,0.0015544745,0.1,92.96405,1589573726445
Fix,GT,37.4166186,-122.082065,,0.0015506998,0.1,92.96399,1589573727445
Fix,GT,37.4166186,-122.082065,,0.0022360678,0.1,92.96396,1589573728445
Fix,GT,37.4166186,-122.082065,,0.0021308935,0.1,92.96365,1589573729445
Fix,GT,37.4166186,-122.082065,,0.0015544745,0.1,92.963715,1589573730445
Fix,GT,37.4166186,-122.082065,,0.0009999999,0.1,92.96387,1589573731445
Fix,GT,37.4166186,-122.082065,,0.0005544745,0.1,92.963745,1589573732445
Fix,GT,37.4166186,-122.082065,,0.0006300682,0.1,92.96362,1589573733445
Fix,GT,37.4166186,-122.082065,,0.0007841453,0.1,92.963165,1589573734445
Fix,GT,37.4166186,-122.082065,,0.0006300682,0.1,92.96265,1589573735445
Fix,GT,37.4166186,-122.082065,,0.0014142136,0.1,92.96234,1589573736445
Fix,GT,37.4166186,-122.082065,,0.0012296708,0.1,92.96231,1589573737445
Fix,GT,37.4166186,-122.082065,,0.0011845427,0.1,92.96234,1589573738445
Fix,GT,37.4166186,-122.082065,,0.0012296708,0.1,92.96271,1589573739445
Fix,GT,37.4166186,-122.082065,,0.0011845427,0.1,92.96301,1589573740445
Fix,GT,37.4166186,-122.082065,,0.0014142136,0.1,92.96341,1589573741445
Fix,GT,37.4166186,-122.082065,,0.0017803706,0.1,92.96387,1589573742445
Fix,GT,37.4166186,-122.082065,,0.0022360678,0.1,92.96417,1589573743445
Fix,GT,37.4166186,-122.082065,,0.0018699109,0.1,92.964294,1589573744445
Fix,GT,37.4166186,-122.082065,,0.0020442817,0.1,92.964386,1589573745445
Fix,GT,37.4166186,-122.082065,,0.002013816,0.1,92.96387,1589573746445
Fix,GT,37.4166186,-122.082065,,0.0011845427,0.1,92.963745,1589573747445
Fix,GT,37.4166186,-122.082065,,0.0014142136,0.1,92.96478,1589573748445
Fix,GT,37.4166186,-122.082065,,0.0012296708,0.1,92.96521,1589573749445
Fix,GT,37.4166186,-122.082065,,0.0015506998,0.1,92.96509,1589573750445
Fix,GT,37.4166186,-122.082065,,0.0022360678,0.1,92.96472,1589573751445
Fix,GT,37.4166186,-122.082065,,0.002236068,0.1,92.96454,1589573752445
Fix,GT,37.4166186,-122.082065,,0.002236068,0.1,92.96484,1589573753445
Fix,GT,37.4166186,-122.082065,,0.0025764192,0.1,92.96454,1589573754445
Fix,GT,37.4166186,-122.082065,,0.002659649,0.1,92.963715,1589573755445
Fix,GT,37.4166186,-122.082065,,0.002648718,0.1,92.964294,1589573756445
Fix,GT,37.4166186,-122.082065,,0.0030899788,0.1,92.96475,1589573757445
Fix,GT,37.4166186,-122.082065,,0.0032697886,0.1,92.96472,1589573758445
Fix,GT,37.4166186,-122.082065,,0.0026292545,0.1,92.96524,1589573759445
Fix,GT,37.4166186,-122.082065,,0.0021207219,0.1,92.96533,1589573760445
Fix,GT,37.4166186,-122.082065,,0.0025544746,0.1,92.9671,1589573761445
Fix,GT,37.4166186,-122.082065,,0.0017390172,0.1,92.96954,1589573762445
Fix,GT,37.4166186,-122.082065,,0.0017803707,0.1,92.96912,1589573763445
Fix,GT,37.4166186,-122.082065,,0.0016853682,0.1,92.96881,1589573764445
Fix,GT,37.4166186,-122.082065,,0.0014455256,0.1,92.96875,1589573765445
Fix,GT,37.4166186,-122.082065,,0.002,0.1,92.96893,1589573766445
Fix,GT,37.4166186,-122.082065,,0.002,0.1,92.96924,1589573767445
Fix,GT,37.4166186,-122.082065,,0.0015544746,0.1,92.969666,1589573768445
Fix,GT,37.4166186,-122.082065,,0.0011845427,0.1,92.96976,1589573769445
Fix,GT,37.4166186,-122.082065,,0.0017803707,0.1,92.96997,1589573770445
Fix,GT,37.4166186,-122.082065,,0.0016853681,0.1,92.96979,1589573771445
Fix,GT,37.4166186,-122.082065,,0.0015506998,0.1,92.969666,1589573772445
